Date,AAPL,MSFT
2024-11-08,226.96,422.54
2024-11-11,224.23,418.01
2024-11-12,224.23,423.03
2024-11-13,225.12,425.2
2024-11-14,228.22,426.89
2024-11-15,225.0,415.0
2024-11-18,228.02,415.76
2024-11-19,228.28,417.79
2024-11-20,229.0,415.49
2024-11-21,228.52,412.87
2024-11-22,229.87,417.0
2024-11-25,232.87,418.79
2024-11-26,235.06,427.99
2024-11-27,234.93,422.99
2024-11-29,237.33,423.46
2024-12-02,239.59,430.98
2024-12-03,242.65,431.2
2024-12-04,243.01,437.42
2024-12-05,243.04,442.62
2024-12-06,242.84,443.57
2024-12-09,246.75,446.02
2024-12-10,247.77,443.33
2024-12-11,246.49,448.99
2024-12-12,247.96,449.56
2024-12-13,248.13,447.27
2024-12-16,251.04,451.59
2024-12-17,253.48,454.46
2024-12-18,248.05,437.39
2024-12-19,249.79,437.03
2024-12-20,254.49,436.6
2024-12-23,255.27,435.25
2024-12-24,258.2,439.33
2024-12-26,259.02,438.11
2024-12-27,255.59,430.53
2024-12-30,252.2,424.83
2024-12-31,250.42,421.5
2025-01-02,243.85,418.58
2025-01-03,243.36,423.35
