Date,JPM,GS
2015-01-09,45.3,154.53
2015-01-12,44.92,152.65
2015-01-13,44.92,152.54
2015-01-14,43.37,148.66
2015-01-15,41.98,147.22
2015-01-16,42.7,146.19
2015-01-20,42.53,144.87
2015-01-21,42.67,146.12
2015-01-22,43.97,150.15
2015-01-23,43.27,148.87
2015-01-26,43.34,148.82
2015-01-27,42.91,145.57
2015-01-28,41.8,142.74
2015-01-29,42.5,145.16
2015-01-30,41.52,142.21
2015-02-02,42.35,144.75
2015-02-03,43.3,148.67
2015-02-04,43.05,147.46
2015-02-05,43.34,149.1
2015-02-06,44.2,151.3
2015-02-09,44.14,150.3
2015-02-10,44.63,152.23
2015-02-11,44.56,154.78
2015-02-12,45.48,156.54
2015-02-13,45.56,155.89
2015-02-17,45.89,156.73
2015-02-18,45.33,155.62
2015-02-19,45.22,155.98
2015-02-20,45.66,157.96
2015-02-23,45.31,156.97
2015-02-24,46.43,158.55
2015-02-25,46.68,158.14
2015-02-26,47.02,159.03
2015-02-27,46.79,157.04
2015-03-02,47.16,158.69
2015-03-03,47.31,158.26
2015-03-04,47.44,156.94
2015-03-05,47.34,157.28
2015-03-06,46.49,154.65
2015-03-09,46.95,155.5
2015-03-10,45.78,151.18
2015-03-11,45.99,152.39
2015-03-12,46.85,157.17
2015-03-13,46.57,156.66
2015-03-16,47.22,158.78
2015-03-17,47.04,157.68
2015-03-18,47.14,159.13
2015-03-19,46.73,157.19
2015-03-20,47.14,159.8
2015-03-23,46.68,158.83
2015-03-24,46.16,158.27
2015-03-25,45.51,155.02
2015-03-26,45.46,154.93
2015-03-27,45.47,155.6
2015-03-30,46.54,158.05
2015-03-31,46.25,155.53
2015-04-01,46.07,159.06
2015-04-02,46.51,158.49
2015-04-06,46.47,158.91
2015-04-07,46.77,159.19
2015-04-08,46.92,159.33
2015-04-09,47.24,161.26
2015-04-10,47.42,161.88
2015-04-13,47.7,161.83
2015-04-14,48.45,163.6
2015-04-15,49.35,166.39
2015-04-16,49.04,165.66
2015-04-17,48.3,163.29
2015-04-20,48.6,163.91
2015-04-21,47.89,162.87
2015-04-22,48.37,164.09
2015-04-23,48.27,164.91
2015-04-24,48.11,163.82
2015-04-27,47.91,162.6
2015-04-28,48.23,163.41
2015-04-29,48.88,164.29
2015-04-30,48.62,162.52
2015-05-01,48.89,163.44
2015-05-04,49.74,164.91
2015-05-05,49.5,163.24
2015-05-06,49.13,162.38
2015-05-07,49.57,163.32
2015-05-08,50.33,165.9
2015-05-11,50.3,166.92
2015-05-12,50.23,165.92
2015-05-13,50.36,166.67
2015-05-14,50.76,167.65
2015-05-15,50.63,167.94
2015-05-18,51.05,169.34
2015-05-19,51.5,169.95
2015-05-20,51.09,169.69
2015-05-21,51.22,169.58
2015-05-22,51.09,171.94
2015-05-26,50.52,170.76
2015-05-27,51.09,172.98
2015-05-28,50.88,173.04
2015-05-29,50.56,171.14
2015-06-01,50.79,172.48
2015-06-02,50.74,171.34
2015-06-03,51.26,172.88
2015-06-04,50.98,173.36
2015-06-05,51.82,174.67
2015-06-08,51.41,174.13
2015-06-09,51.63,173.49
2015-06-10,52.46,176.9
2015-06-11,52.66,177.57
2015-06-12,52.45,176.84
2015-06-15,52.25,175.76
2015-06-16,52.55,177.26
2015-06-17,52.37,176.73
2015-06-18,52.86,178.12
2015-06-19,52.32,176.95
2015-06-22,53.0,179.7
2015-06-23,53.61,181.27
2015-06-24,53.05,177.98
2015-06-25,52.76,176.64
2015-06-26,52.99,176.93
2015-06-29,51.65,172.35
2015-06-30,52.08,173.3
2015-07-01,52.66,174.25
2015-07-02,52.23,173.64
2015-07-06,52.09,172.67
2015-07-07,51.68,172.81
2015-07-08,50.62,169.37
2015-07-09,51.14,169.99
2015-07-10,51.87,171.97
2015-07-13,52.67,174.4
2015-07-14,53.41,176.09
2015-07-15,53.52,176.76
2015-07-16,53.81,175.28
2015-07-17,53.54,176.34
2015-07-20,53.58,176.28
2015-07-21,53.45,175.55
2015-07-22,54.21,177.0
2015-07-23,53.87,175.17
2015-07-24,53.31,172.1
2015-07-27,52.61,170.17
2015-07-28,52.64,171.18
2015-07-29,53.33,171.68
2015-07-30,53.41,171.98
2015-07-31,53.01,170.21
2015-08-03,53.01,169.89
2015-08-04,52.96,170.29
2015-08-05,53.17,170.73
2015-08-06,52.8,170.23
2015-08-07,52.64,168.86
2015-08-10,53.29,170.96
2015-08-11,52.78,167.41
2015-08-12,52.02,166.94
2015-08-13,52.26,166.61
2015-08-14,52.52,167.68
2015-08-17,52.66,168.13
2015-08-18,52.77,166.98
2015-08-19,52.29,166.79
2015-08-20,51.01,163.3
2015-08-21,49.2,155.82
2015-08-24,46.61,148.95
2015-08-25,46.35,147.92
2015-08-26,48.67,153.05
2015-08-27,49.88,157.04
2015-08-28,49.61,156.37
2015-08-31,49.59,157.08
2015-09-01,47.54,151.68
2015-09-02,48.4,153.67
2015-09-03,48.49,154.13
2015-09-04,47.58,150.23
2015-09-08,48.86,154.81
2015-09-09,48.1,154.65
2015-09-10,48.47,154.84
2015-09-11,48.4,154.3
2015-09-14,48.26,153.2
2015-09-15,49.18,156.12
2015-09-16,49.62,157.11
2015-09-17,48.46,155.29
2015-09-18,47.14,150.7
2015-09-21,47.54,152.71
2015-09-22,47.12,149.68
2015-09-23,46.91,149.42
2015-09-24,46.58,147.34
2015-09-25,47.55,149.77
2015-09-28,46.4,144.1
2015-09-29,46.29,143.14
