Date,CVX,XOM
2015-01-09,71.33,60.06
2015-01-12,69.8,58.91
2015-01-13,68.69,58.69
2015-01-14,68.49,58.52
2015-01-15,67.68,58.01
2015-01-16,69.3,59.42
2015-01-20,70.19,59.4
2015-01-21,71.3,59.91
2015-01-22,71.8,60.56
2015-01-23,70.44,59.27
2015-01-26,71.77,59.84
2015-01-27,71.37,59.31
2015-01-28,68.37,57.35
2015-01-29,67.9,57.11
2015-01-30,67.59,57.01
2015-02-02,69.92,58.42
2015-02-03,72.2,60.16
2015-02-04,71.43,59.64
2015-02-05,72.06,60.23
2015-02-06,72.26,60.12
2015-02-09,72.8,60.16
2015-02-10,72.63,59.8
2015-02-11,72.5,59.53
2015-02-12,73.8,60.69
2015-02-13,75.08,61.35
2015-02-17,74.82,61.14
2015-02-18,73.52,59.8
2015-02-19,72.13,58.76
2015-02-20,72.29,59.08
2015-02-23,71.8,58.48
2015-02-24,71.87,58.75
2015-02-25,72.28,58.87
2015-02-26,71.27,58.25
2015-02-27,71.02,58.17
2015-03-02,70.5,57.84
2015-03-03,70.0,57.57
2015-03-04,70.0,57.28
2015-03-05,69.72,56.99
2015-03-06,68.93,56.26
2015-03-09,69.2,55.95
2015-03-10,68.51,55.36
2015-03-11,68.92,55.2
2015-03-12,68.18,55.33
2015-03-13,67.65,55.1
2015-03-16,68.65,55.69
2015-03-17,68.68,55.24
2015-03-18,71.03,56.55
2015-03-19,69.73,55.46
2015-03-20,71.25,55.54
2015-03-23,70.51,56.13
2015-03-24,69.36,55.53
2015-03-25,70.34,55.76
2015-03-26,70.06,55.4
2015-03-27,69.42,54.91
2015-03-30,71.16,56.26
2015-03-31,69.88,55.85
2015-04-01,69.76,55.49
2015-04-02,70.08,55.39
2015-04-06,71.17,55.93
2015-04-07,72.25,56.34
2015-04-08,71.0,55.23
2015-04-09,71.19,55.62
2015-04-10,71.17,56.21
2015-04-13,70.9,56.07
2015-04-14,72.45,56.92
2015-04-15,73.5,57.87
2015-04-16,73.33,57.64
2015-04-17,72.63,57.12
2015-04-20,73.42,57.32
2015-04-21,73.05,57.08
2015-04-22,72.89,57.46
2015-04-23,73.21,57.52
2015-04-24,73.14,57.14
2015-04-27,73.03,57.17
2015-04-28,73.97,57.69
2015-04-29,74.38,57.73
2015-04-30,73.93,57.4
2015-05-01,72.59,58.38
2015-05-04,72.11,58.55
2015-05-05,71.89,58.22
2015-05-06,71.86,57.94
2015-05-07,71.61,57.56
2015-05-08,72.33,58.47
2015-05-11,71.47,57.49
2015-05-12,71.6,57.65
2015-05-13,71.69,57.34
2015-05-14,72.19,57.61
2015-05-15,72.63,57.87
2015-05-18,71.7,57.53
2015-05-19,70.61,57.63
2015-05-20,70.76,57.72
2015-05-21,70.92,57.77
2015-05-22,70.52,57.32
2015-05-26,69.44,56.54
2015-05-27,69.32,56.38
2015-05-28,69.41,56.38
2015-05-29,69.25,56.44
2015-06-01,69.0,56.4
2015-06-02,68.97,56.4
2015-06-03,68.69,56.28
2015-06-04,68.17,55.79
2015-06-05,68.3,55.83
2015-06-08,67.51,56.21
2015-06-09,67.51,56.03
2015-06-10,68.46,56.45
2015-06-11,67.98,56.37
2015-06-12,67.14,55.66
2015-06-15,66.75,55.46
2015-06-16,67.26,56.1
2015-06-17,67.07,56.13
2015-06-18,67.4,56.63
2015-06-19,66.88,56.45
2015-06-22,67.43,56.42
2015-06-23,67.29,56.36
2015-06-24,66.74,56.1
2015-06-25,66.12,55.6
2015-06-26,66.29,55.55
2015-06-29,65.01,54.86
2015-06-30,64.86,55.12
2015-07-01,64.6,54.57
2015-07-02,64.46,55.08
2015-07-06,63.72,54.67
2015-07-07,64.05,54.9
2015-07-08,62.9,54.3
2015-07-09,63.05,54.06
2015-07-10,63.47,54.47
2015-07-13,63.6,54.6
2015-07-14,64.24,55.06
2015-07-15,63.36,54.83
2015-07-16,63.52,54.92
2015-07-17,62.63,54.73
2015-07-20,62.49,54.16
2015-07-21,63.13,54.1
2015-07-22,62.87,54.18
2015-07-23,62.49,53.75
2015-07-24,60.91,52.96
2015-07-27,59.93,52.51
2015-07-28,62.12,54.64
2015-07-29,62.69,55.08
2015-07-30,62.55,54.99
2015-07-31,59.49,52.47
2015-08-03,57.55,51.71
2015-08-04,57.29,51.12
2015-08-05,56.49,51.12
2015-08-06,57.27,51.73
2015-08-07,56.31,50.9
2015-08-10,57.75,52.17
2015-08-11,57.67,51.81
2015-08-12,58.35,52.68
2015-08-13,57.72,52.59
2015-08-14,57.81,52.4
2015-08-17,56.66,52.67
2015-08-18,56.81,52.09
2015-08-19,55.08,50.97
2015-08-20,53.95,49.86
2015-08-21,51.58,48.23
2015-08-24,49.1,45.95
2015-08-25,47.67,45.94
2015-08-26,49.76,48.48
2015-08-27,52.86,50.05
2015-08-28,54.76,50.2
2015-08-31,55.14,50.31
2015-09-01,53.23,48.2
2015-09-02,53.14,48.97
2015-09-03,53.28,49.34
2015-09-04,52.2,48.45
2015-09-08,52.31,49.15
2015-09-09,51.0,48.14
2015-09-10,51.51,48.49
2015-09-11,51.6,48.6
2015-09-14,51.58,48.47
2015-09-15,52.54,48.72
2015-09-16,53.8,49.68
2015-09-17,54.06,49.79
2015-09-18,52.92,48.6
2015-09-21,53.16,49.07
2015-09-22,52.59,48.64
2015-09-23,51.82,48.34
2015-09-24,52.35,48.63
2015-09-25,52.9,48.97
2015-09-28,51.58,48.54
2015-09-29,51.91,48.79
2015-09-30,53.7,49.71
2015-10-01,53.33,49.52
2015-10-02,55.52,50.74
2015-10-05,57.21,51.36
2015-10-06,59.22,52.08
2015-10-07,59.99,52.96
2015-10-08,61.21,53.51
2015-10-09,60.98,53.0
2015-10-12,60.41,53.02
2015-10-13,60.17,52.93
2015-10-14,61.11,53.6
2015-10-15,61.76,54.48
2015-10-16,62.15,55.15
2015-10-19,61.29,54.15
2015-10-20,61.26,54.05
2015-10-21,60.81,53.63
2015-10-22,62.37,55.42
