Date,KO,PEP
2015-01-09,31.55,72.38
2015-01-12,31.26,72.08
2015-01-13,31.25,72.03
2015-01-14,31.2,72.26
2015-01-15,31.07,72.26
2015-01-16,31.18,72.73
2015-01-20,31.64,72.89
2015-01-21,31.79,72.81
2015-01-22,32.1,73.93
2015-01-23,31.75,73.65
2015-01-26,31.53,73.77
2015-01-27,31.08,72.3
2015-01-28,30.73,71.55
2015-01-29,30.87,71.79
2015-01-30,30.18,70.1
2015-02-02,30.49,71.26
2015-02-03,30.52,71.91
2015-02-04,30.56,72.21
2015-02-05,30.64,72.22
2015-02-06,30.39,72.29
2015-02-09,30.23,71.74
2015-02-10,31.09,73.25
2015-02-11,31.06,75.05
2015-02-12,30.92,74.96
2015-02-13,30.78,74.1
2015-02-17,30.65,73.53
2015-02-18,30.59,74.25
2015-02-19,30.87,73.8
2015-02-20,30.77,74.05
2015-02-23,30.68,74.34
2015-02-24,30.89,74.44
2015-02-25,30.83,74.38
2015-02-26,31.13,74.06
2015-02-27,31.75,73.99
2015-03-02,31.67,74.01
2015-03-03,31.49,73.56
2015-03-04,31.16,73.27
2015-03-05,31.09,73.17
2015-03-06,30.44,72.37
2015-03-09,30.34,72.27
2015-03-10,29.83,71.06
2015-03-11,29.4,70.46
2015-03-12,29.99,72.03
2015-03-13,29.5,70.98
2015-03-16,29.78,71.83
2015-03-17,29.95,70.84
2015-03-18,30.01,71.22
2015-03-19,29.58,70.81
2015-03-20,30.05,71.75
2015-03-23,30.03,72.13
2015-03-24,29.92,72.14
2015-03-25,29.9,71.69
2015-03-26,29.83,71.97
2015-03-27,29.63,72.21
2015-03-30,29.95,72.64
2015-03-31,29.98,71.96
2015-04-01,30.07,71.56
2015-04-02,30.07,72.01
2015-04-06,30.43,72.61
2015-04-07,30.32,72.4
2015-04-08,30.23,72.27
2015-04-09,30.35,72.51
2015-04-10,30.22,72.39
2015-04-13,30.09,71.89
2015-04-14,29.95,72.61
2015-04-15,29.86,72.72
2015-04-16,30.01,72.58
2015-04-17,29.79,72.1
2015-04-20,30.06,72.62
2015-04-21,30.15,72.83
2015-04-22,30.54,73.21
2015-04-23,30.27,72.04
2015-04-24,30.23,71.62
2015-04-27,30.18,71.11
2015-04-28,30.14,71.06
2015-04-29,29.93,71.03
2015-04-30,29.98,71.58
2015-05-01,30.24,71.91
2015-05-04,30.28,72.21
2015-05-05,30.12,71.81
2015-05-06,30.06,71.85
2015-05-07,30.09,71.6
2015-05-08,30.29,72.66
2015-05-11,30.26,72.51
2015-05-12,30.08,72.39
2015-05-13,30.35,72.55
2015-05-14,30.68,73.75
2015-05-15,30.69,73.92
2015-05-18,30.54,73.79
2015-05-19,30.54,73.71
2015-05-20,30.57,73.52
2015-05-21,30.48,73.15
2015-05-22,30.46,72.44
2015-05-26,30.3,72.09
2015-05-27,30.4,72.53
2015-05-28,30.41,73.04
2015-05-29,30.28,72.57
2015-06-01,30.26,72.22
2015-06-02,30.3,72.28
2015-06-03,30.21,72.25
2015-06-04,30.01,71.37
2015-06-05,29.64,70.54
2015-06-08,29.69,70.38
2015-06-09,29.72,70.56
2015-06-10,29.81,71.03
2015-06-11,29.89,71.33
2015-06-12,29.78,71.06
2015-06-15,29.51,70.23
2015-06-16,29.87,70.92
2015-06-17,30.01,71.3
2015-06-18,30.3,72.19
2015-06-19,30.11,71.91
2015-06-22,30.17,72.47
2015-06-23,30.1,72.47
